Username,Date,Favorites,Retweets,Hashtags,Text
valerio_romeo,2016-06-25 23:52:20+00:00,1,2,"['#UE', '#Brexit']",filo #UE definiscono di DX #Brexit ma sono gli stessi che usano i fascisti contro governi legittimi https:// aurorasito.wordpress.com/i-sostenitori- italiani-di-pravyj-sektor/ …
Siegel_Jan,2016-06-25 23:52:17+00:00,0,0,['#Brexit'],"#Brexit Close your mind, close your door, build walls round your enclave; The things that you have built it for are no more here to save."
RepubNetwork,2016-06-25 23:52:15+00:00,0,0,"['#Left', '#Trump', '#Brexit']",The #Left is accusing #Trump & all #Brexit supporters of racism & xenophobia. Britons made their decision & it's time we made a similar one
SP_Trades,2016-06-25 23:52:15+00:00,0,0,"['#stocks', '#trading', '#brexit']",Tough week? Get your trading back on track by trading with me in the Splash Zone http://www. shareplanner.com/splash zone #stocks #trading #brexit
SharePlanner,2016-06-25 23:52:15+00:00,1,2,"['#stocks', '#trading', '#brexit']",Tough week? Get your trading back on track by trading with me in the Splash Zone http://www. shareplanner.com/splash zone #stocks #trading #brexit
Owen_DO,2016-06-25 23:52:14+00:00,0,0,"['#brexit', '#eureferendum']",All these immigrants taking our jobs! Fucking idiots #brexit #eureferendum https://www. instagram.com/p/BHGLco4BYM0/
MarketWatch,2016-06-25 23:52:13+00:00,18,41,['#Brexit'],The S&P 500 could drop as much as 7% in another #Brexit swoon next week: http:// on.mktw.net/28Sy8Iq
franbonfan,2016-06-25 23:52:12+00:00,0,0,['#Brexit'],#Brexit Racist & hate behaviour in UK streets:as a tourist who loves the country I'll think twice before exposing myself to that on holidays
marksopelana,2016-06-25 23:52:09+00:00,0,0,"['#yugoslavia', '#WW2', '#genocide', '#Brexit']",Rightist Euro-nationalism is ALWAYS a positive force!! Returning to that is SUCH a good idea!! #yugoslavia ; #WW2 ; #genocide ; #Brexit
NooraniTejani,2016-06-25 23:52:09+00:00,0,0,"['#Brexit', '#Spain']","What does #Brexit mean for expats living in #Spain ?Confusion, anger & doom in Costas.Will they be given their marching orders to return 2 UK"
veramartins,2016-06-25 23:52:08+00:00,0,2,['#Brexit'],#Brexit :)) pic.twitter.com/vrhiIADTfI
KyleLukan,2016-06-25 23:52:08+00:00,0,0,['#Brexit'],ICYMI: How U.K. ad industry tried to urge young Brits to vote against #Brexit pic.twitter.com/LiVjIqaM8F http:// dlvr.it/LfTBzm
Benjamin_GW,2016-06-25 23:52:08+00:00,0,0,"['#Euro1957', '#Brexit']",Vainqueur de #Euro1957 : Traité de Rome team #Brexit pic.twitter.com/IGAHziTiGc
GreenSparkley,2016-06-25 23:52:07+00:00,0,0,['#brexit'],Ever since we voted for #brexit the LED street lights outside have remained on after midnight....
Tsavkko,2016-06-25 23:52:07+00:00,2,0,['#Brexit'],Alguns rápidos comentários sobre o #Brexit http://www. tsavkko.com.br/2016/06/alguns -rapidos-comentarios-sobre-o.html … pic.twitter.com/kRYc2kME1b
aemonite,2016-06-25 23:52:06+00:00,0,0,"['#Brexit', '#SNP']","Sorry, Scots. Looks as though you're forever cucked! #Brexit #SNP pic.twitter.com/Pa0UJD0Ge6"
pqpolitics,2016-06-25 23:52:06+00:00,1,0,"['#BankersErrandBoy', '#Brexit']",Absolutely devastating expose of #BankersErrandBoy Boris Johnson & Michael Gove's fraud on #Brexit voters https://www. theguardian.com/commentisfree/ 2016/jun/25/boris-johnson-michael-gove-eu-liars?CMP=fb_gu …
Karachi_Post,2016-06-25 23:52:05+00:00,2,1,"['#Brexit', '#Uk', '#Europe']",Absolutely no doubt that Borris Johnson is a very ugly man and resembles a chimpanzee. #Brexit #Uk #Europe
